timestamp,state,file,progress_pct,print_duration_s,z_pos_mm,speed_factor,extruder_temp_c,bed_temp_c,filament_mm
2026-06-09T00:51:57.202808+00:00,standby,,0.0,0.0,165.05,1.0,None,28.76,0.0
2026-06-09T00:52:07.482898+00:00,standby,,0.0,0.0,10.98,1.0,None,28.91,0.0
2026-06-09T00:52:17.754057+00:00,standby,,0.0,0.0,10.98,1.0,None,30.0,0.0
2026-06-09T00:52:28.248852+00:00,standby,,0.0,0.0,0.0,1.0,None,31.46,0.0
2026-06-09T00:52:38.611518+00:00,standby,,0.0,0.0,5.0,1.0,None,33.1,0.0
2026-06-09T00:52:48.902036+00:00,standby,,0.0,0.0,5.0,1.0,None,34.76,0.0
2026-06-09T00:52:59.170860+00:00,standby,,0.0,0.0,0.48,1.0,None,36.47,0.0
2026-06-09T00:53:09.461216+00:00,standby,,0.0,0.0,0.24,1.0,None,38.1,0.0
2026-06-09T00:53:19.731573+00:00,standby,,0.0,0.0,0.24,1.0,None,39.8,0.0
2026-06-09T00:53:30.005955+00:00,standby,,0.0,0.0,0.24,1.0,None,41.44,0.0
2026-06-09T00:53:40.278195+00:00,standby,,0.0,0.0,0.24,1.0,None,43.08,0.0
2026-06-09T00:53:50.555119+00:00,standby,,0.0,0.0,0.24,1.0,None,44.69,0.0
2026-06-09T00:54:00.837958+00:00,standby,,0.0,0.0,0.24,1.0,None,46.23,0.0
2026-06-09T00:54:11.116113+00:00,standby,,0.0,0.0,0.24,1.0,None,47.75,0.0
2026-06-09T00:54:21.410330+00:00,standby,,0.0,0.0,5.39,1.0,None,49.32,0.0
2026-06-09T00:54:31.675314+00:00,standby,,0.0,0.0,5.39,1.0,None,50.78,0.0
2026-06-09T00:54:41.946378+00:00,standby,,0.0,0.0,5.39,1.0,None,52.2,0.0
2026-06-09T00:54:52.223871+00:00,standby,,0.0,0.0,5.39,1.0,None,53.63,0.0
2026-06-09T00:55:02.502362+00:00,standby,,0.0,0.0,5.39,1.0,None,55.09,0.0
2026-06-09T00:55:12.776419+00:00,standby,,0.0,0.0,5.39,1.0,None,56.52,0.0
2026-06-09T00:55:23.053185+00:00,standby,,0.0,0.0,5.39,1.0,None,57.88,0.0
2026-06-09T00:55:33.331136+00:00,standby,,0.0,0.0,5.39,1.0,None,59.27,0.0
2026-06-09T00:55:43.614219+00:00,standby,,0.0,0.0,0.0,1.0,None,60.54,0.0
2026-06-09T00:55:53.886853+00:00,standby,,0.0,0.0,-165.43,1.0,None,61.67,0.0
2026-06-09T00:56:04.162335+00:00,standby,,0.0,0.0,11.06,1.0,None,62.64,0.0
2026-06-09T00:56:14.449685+00:00,standby,,0.0,0.0,4.0,1.0,None,63.47,0.0
2026-06-09T00:56:24.714477+00:00,standby,,0.0,0.0,5.0,1.0,None,64.15,0.0
2026-06-09T00:56:35.054444+00:00,standby,,0.0,0.0,5.0,1.0,None,64.72,0.0
2026-06-09T00:56:45.330903+00:00,standby,,0.0,0.0,5.0,1.0,None,65.18,0.0
2026-06-09T00:56:55.602663+00:00,standby,,0.0,0.0,5.0,1.0,None,65.52,0.0
2026-06-09T00:57:05.878578+00:00,standby,,0.0,0.0,5.0,1.0,None,65.77,0.0
2026-06-09T00:57:15.995567+00:00,printing,Camood_TTHQ_engraved.stl_PLA_2h50m58s.gcode,0.0,0.0,0.1,1.0,None,65.95,0.0
2026-06-09T00:57:26.286020+00:00,printing,Camood_TTHQ_engraved.stl_PLA_2h50m58s.gcode,0.0,0.0,0.1,1.0,None,66.07,0.0
2026-06-09T00:57:37.058772+00:00,printing,Camood_TTHQ_engraved.stl_PLA_2h50m58s.gcode,0.0,0.0,0.1,1.0,None,66.14,0.0
2026-06-09T00:57:47.395627+00:00,printing,Camood_TTHQ_engraved.stl_PLA_2h50m58s.gcode,0.0,5.8,0.2,1.0,None,66.15,19.9
2026-06-09T00:57:57.788969+00:00,printing,Camood_TTHQ_engraved.stl_PLA_2h50m58s.gcode,0.0,16.1,0.2,1.0,None,66.13,40.1
2026-06-09T00:58:07.949785+00:00,printing,Camood_TTHQ_engraved.stl_PLA_2h50m58s.gcode,0.0,26.4,0.2,1.0,None,66.08,59.8
